Id,SalePrice
2658,147010.61955073557
2718,176220.61724415334
2414,212364.12648688178
1989,97824.0600967048
625,173701.65190608773
333,95257.54682179395
1327,104698.20544279195
858,154388.60012960344
95,185339.70474140468
1568,168916.84743419188
2482,152777.25716265288
1364,114502.2578335145
2584,152676.71224810503
818,259379.31137020362
2673,161699.95025325823
2089,132898.81024391344
1297,145551.9643003541
790,121764.18057028629
2616,197271.95816351855
720,194405.57984847474
222,157495.79260186933
557,117614.3770780276
1148,194630.26193588608
2766,171073.70061168942
534,183536.64504298073
1452,120937.7839011849
630,112764.21773613035
2648,115248.08172815455
125,153765.09950377664
1904,63592.80300587567
1670,102498.44548224665
756,71229.48971470346
717,228264.84616644468
1032,149187.40228356438
852,222533.84331356807
1731,200758.8635406789
2639,117726.62605071983
2071,101592.57747838298
1267,117938.8816706538
1851,189852.83886442738
567,175353.77112546912
2439,198507.33973210905
1898,138287.76124130093
647,165652.2163088968
2256,215714.47353994692
979,97665.29301588089
1444,210120.06367607877
2485,108093.78259054422
157,131439.28515231778
88,114775.68287103596
2003,105730.6701048482
186,194559.2676689969
1425,257913.58366660483
2695,128265.72473918846
738,98371.152846911
395,149638.49486610456
1353,157531.1805980865
1878,134624.88652377983
390,161179.85173333468
1456,220052.31540499814
1103,316387.98464291764
1387,114243.63551961556
2070,147722.35857946635
1199,159940.87579691096
2479,162956.92852134875
501,332407.44773185806
2362,73366.14580947006
1718,209719.90167578284
2188,91248.15066734047
1483,146244.77703827457
2557,85757.59802106992
437,347564.22914944834
2224,210405.8524937657
1628,164465.36617525583
397,127941.53292765268
587,201483.59652409682
2182,761305.442914367
971,130853.33944189096
2611,130537.5314948249
1887,103000.59348774776
2399,346632.57673105935
2148,205453.62656755705
304,135134.37558821007
1997,124796.52611336113
2817,118490.04875846938
1431,206855.1481430778
427,359735.2725928682
263,115311.38785813842
598,166530.44181119255
2895,260331.9434458146
687,124559.58862722002
1822,124150.26140533069
2191,114852.51400486144
179,118792.19811459837
1009,235300.3564497381
2010,125036.00178775551
1991,135904.03945369963
1411,213800.75541434443
1721,257578.2021788705
1144,178953.12940668708
593,211748.90416458584
575,290063.87150322355
1249,173483.79065685908
1604,124653.02413126478
1064,501761.233482931
1923,157971.80784284056
1988,116636.6194123684
2325,159663.57362592118
114,197576.46900186417
2700,190686.83500801187
217,138839.35915160616
343,176895.51854266837
386,233136.82970439116
2005,139153.24361373065
2908,138954.53818948788
1814,208057.31483351436
2446,546713.1636041005
208,139237.57053597507
1679,111118.8796288487
822,311002.734039878
6,191496.64237767487
1781,392469.1297781817
2397,318648.83111966384
2340,318210.87925283774
1618,158221.36358893727
2843,111229.14133166024
1061,351543.0664146752
2786,131823.31289913406
1935,129916.7369308074
1341,124181.13630483388
521,289541.90993142116
2136,129235.95687702474
996,181308.46893944245
227,144515.51792288854
135,172591.2100179917
1167,156201.77425877564
294,223134.19421138905
1776,214439.5006809166
540,175616.28626237446
1717,224588.39503548245
2303,134736.72137604488
116,178979.76903175138
127,137761.61449915305
1371,118673.94395613775
1014,168145.7708670554
1507,112877.89612701173
702,127694.46422795144
750,152856.42841138787
261,144940.68395705332
1559,81168.13981627833
577,220336.7218562437
2812,203792.70720924108
2080,165356.85474729683
1368,106640.64354585335
2376,117946.93554152294
659,110375.5670986002
1235,121395.07350860338
332,74264.13513376958
1917,142963.20193990303
2094,243219.46574871492
1460,271418.73874460056
1471,201680.25247150194
1509,114129.94658652101
1922,126361.55786588638
433,493252.5381601487
460,289502.3782522645
1116,257848.9323486854
1137,162303.55994564985
53,167669.99358100333
2354,264691.28129188146
1475,200969.0344171413
1761,619212.1664267225
842,127504.9928860162
2739,200578.89691405252
2509,161405.2195940516
1007,192795.10536972384
2610,186608.9462905601
1952,94875.02245154348
2719,170427.0970622383
2921,86839.15005041781
1966,127889.6812243685
292,103287.22134128767
1204,180139.2529810041
1829,246467.80213561578
2419,201271.5497630294
391,152880.4396173074
798,103416.87553482578
481,188092.0567654508
193,193799.2154893182
555,112973.4421714198
899,76239.94170747975
2357,194926.78797196544
328,128498.88502216262
1356,114765.73533083286
1154,98527.55239983309
1730,191272.10579751903
2249,165451.504690415
1119,274981.608268469
2856,135229.27838969236
1394,135086.61397696397
2587,118028.9233035985
61,347890.8012492603
2661,178983.24283261344
2711,140079.22156386665
1147,172690.70841225935
757,131822.56140136055
2623,83428.47560801933
2378,139474.02757887455
1413,139909.39702609356
1722,246276.87028667104
1112,221543.8993881228
1623,175675.1841097866
1201,183954.83679116127
1513,118683.34126986355
957,448940.41418658895
1171,264788.8043826265
1145,185647.16759361146
2726,232716.68341850623
703,165595.80276997757
760,107061.04784433857
1964,133024.9535309045
2512,179817.03126643077
159,122043.13395309744
1281,160705.1831689343
